PROGRAM	OPT	ASLR	ENV	TIME
lbm-O2	2	0	1	138.95
lbm-O3	3	0	1	138.30
lbm-O2	2	1	1	138.61
lbm-O3	3	1	1	143.77
lbm-O2	2	0	129	138.67
lbm-O3	3	0	129	138.61
lbm-O2	2	1	129	138.20
lbm-O3	3	1	129	141.08
lbm-O2	2	0	257	144.44
lbm-O3	3	0	257	146.12
lbm-O2	2	1	257	138.78
lbm-O3	3	1	257	138.52
lbm-O2	2	0	385	138.46
lbm-O3	3	0	385	139.00
lbm-O2	2	1	385	138.88
lbm-O3	3	1	385	138.62
