PROGRAM	OPT	ASLR	ENV	TIME
lbm-O2	2	0	1	138.60
lbm-O3	3	0	1	138.53
lbm-O2	2	1	1	138.31
lbm-O3	3	1	1	143.72
lbm-O2	2	0	129	144.11
lbm-O3	3	0	129	140.48
lbm-O2	2	1	129	138.17
lbm-O3	3	1	129	139.08
lbm-O2	2	0	257	143.69
lbm-O3	3	0	257	139.04
lbm-O2	2	1	257	138.35
lbm-O3	3	1	257	138.31
lbm-O2	2	0	385	138.99
lbm-O3	3	0	385	138.39
lbm-O2	2	1	385	138.45
lbm-O3	3	1	385	138.41
