PROGRAM	OPT	ASLR	ENV	TIME
lbm-O2	2	0	1	138.81
lbm-O3	3	0	1	142.80
lbm-O2	2	1	1	138.26
lbm-O3	3	1	1	143.73
lbm-O2	2	0	129	138.58
lbm-O3	3	0	129	138.77
lbm-O2	2	1	129	138.45
lbm-O3	3	1	129	138.82
lbm-O2	2	0	257	138.82
lbm-O3	3	0	257	145.52
lbm-O2	2	1	257	138.30
lbm-O3	3	1	257	138.33
lbm-O2	2	0	385	138.85
lbm-O3	3	0	385	138.69
lbm-O2	2	1	385	138.40
lbm-O3	3	1	385	138.43
