PROGRAM	OPT	ASLR	ENV	TIME
lbm-O2	2	0	1	139.47
lbm-O3	3	0	1	138.34
lbm-O2	2	1	1	138.35
lbm-O3	3	1	1	144.08
lbm-O2	2	0	129	138.68
lbm-O3	3	0	129	138.74
lbm-O2	2	1	129	138.17
lbm-O3	3	1	129	139.22
lbm-O2	2	0	257	142.38
lbm-O3	3	0	257	138.62
lbm-O2	2	1	257	138.85
lbm-O3	3	1	257	138.55
lbm-O2	2	0	385	138.59
lbm-O3	3	0	385	138.37
lbm-O2	2	1	385	138.95
lbm-O3	3	1	385	138.65
